"_time",host,"database_name","session_id","wait_type",command,"head_blocker","sql_text","blocked_sessions_count","total_blocked_wait_time_ms"
"2025-12-27T07:52:29.000+0800",WINFODB06ST11,"oi_analytics_db",265,"","",1,"CREATE FUNCTION dbo.udf_save_sell_request(@activity dbo.udt_log_activity READONLY)RETURNS BITASBEGINDECLARE    @need_save BIT = 0;-- activity status:D",0,0
"2025-12-26T22:20:30.000+0800",WINFODB06ST11,"oi_analytics_db",519,"",INSERT,1,"CREATE PROCEDURE dbo.uspx_ticket_location_insert(@tvp_ticket_location dbo.udt_ap_location READONLY   ,@ticket_action                   TINYINT   ,@sys",0,0
"2025-12-26T22:15:30.000+0800",WINFODB06ST11,"oi_analytics_db",422,"","COMMIT TRANSACTION",1,"CREATE PROCEDURE dbo.usp_ap_ticket_cashout(@tvp_activity     dbo.udt_log_activity READONLY   ,@cashout_ticket dbo.udt_cashout_ticket READONLY--Output ",0,0
"2025-12-26T21:59:30.000+0800",WINFODB06ST11,"oi_analytics_db",264,"","COMMIT TRANSACTION",1,"CREATE PROCEDURE dbo.usp_ap_dummy_activity_insert(    -- activity    @tvp_activity dbo.udt_log_activity READONLY    --Output Parameters   ,@return_msg",3,143314
"2025-12-26T21:31:30.000+0800",WINFODB06ST11,"oi_analytics_db",493,"PAGELATCH_EX",INSERT,1,"CREATE PROCEDURE dbo.uspx_sell_request(@activity                    dbo.udt_log_activity READONLY   ,@sell_request                dbo.udt_sell_request",0,0
"2025-12-23T06:41:10.000+0800",IDASTBDB04,"fb_db_v2",4485,"PAGEIOLATCH_SH",DELETE,1,"BEGIN TRANSACTION;          BEGIN TRY              DECLARE @rcount AS INT =1 WHILE @rcount > 0 BEGIN DELETE TOP (5000) sml from operational.src_msg_pr",0,0
"2025-12-22T06:48:20.000+0800",WINDB09HV01N,"agp4_db",81,"",SELECT,1,"CREATE PROCEDURE usp_agp_get_edabi_rpt_1508(@error_codeintoutput,@error_msgvarchar(500)output,@bizdateint)ASBEGIN TRY--DECLARE --@tvpnc_fo_edabidbo.tv",0,0
"2025-12-22T06:46:58.000+0800",WINDB09HV01N,"agp2_db",87,"",INSERT,1,"CREATE PROCEDURE usp_agp_eod_housekeep_fo_miscASDECLARE @retryint ,@last_bizdateint,@last_10_bizdateint,@last_63_bizdateint,@last_367_bizdateint,@last",1,85063
"2025-12-21T22:26:30.000+0800",WINFODB06ST11,"oi_analytics_db",349,"PAGELATCH_EX",INSERT,1,"CREATE PROCEDURE dbo.usp_ap_activity_insert(    -- activity    @tvp_activity dbo.udt_log_activity READONLY    --Output Parameters   ,@return_msg      ",0,0
"2025-12-21T21:47:30.000+0800",WINFODB06ST11,"oi_analytics_db",340,"",INSERT,1,"CREATE FUNCTION dbo.udfnc_get_datetime2()RETURNS DATETIME2WITH NATIVE_COMPILATION, SCHEMABINDINGASBEGIN ATOMIC WITH(TRANSACTION ISOLATION LEVEL = SNAP",0,0
"2025-12-20T06:47:00.000+0800",WINDB09HV02N,"agp2_db",214,"",SELECT,1,"CREATE PROCEDURE [dbo].[usp_agp_get_edabi_rpt_1523](@error_codeintoutput,@error_msgvarchar(500)output,@bizdateint)ASBEGIN TRY--DECLARE  --@tvpnc_fo_ed",2,174608
"2025-12-19T20:10:31.000+0800",WINFODB06ST11,"oi_analytics_db",489,"","COMMIT TRANSACTION",1,"CREATE PROCEDURE dbo.usp_scheduler_log_task_status_update(--Input Parameters@task_id            BIGINT   ,@task_status       TINYINT   --Output Parame",0,0
"2025-12-19T04:57:29.000+0800",WINFODB06ST11,"oi_analytics_db",405,"",UPDATE,1,"CREATE PROCEDURE dbo.usp_summary_snapshot_pool_combinations(@task_id             BIGINT   ,@checkpoint_id       BIGINT   ,@pool_id             BIGINT ",0,0
"2025-12-19T04:57:29.000+0800",WINFODB06ST11,"oi_analytics_db",302,"",INSERT,1,"CREATE PROCEDURE dbo.usp_summary_snapshot_summary(@task_id             BIGINT   ,@checkpoint_id       BIGINT   ,@payout_date           DATE   ,@return",0,0
"2025-12-17T06:46:36.000+0800",WINDB08ST01N,"agp3_db",348,"",SELECT,1,"CREATE PROCEDURE [dbo].[usp_agp_asc_get_all_activity_info](@activity_id_startbigint,@batch_sizeint,@cutoff_time               int)ASBEGIN --ATOMIC WIT",0,0
"2025-12-15T06:49:29.000+0800",WINFODB06ST11,"oi_analytics_db",56,"",SELECT,1,"CREATE PROCEDURE dbo.uspx_pool_combination_odds_change(--Meta Data@checkpoint_id                                 BIGINT = 0   ,@operation_type        ",0,0
"2025-12-14T21:21:30.000+0800",WINFODB06ST11,"oi_analytics_db",281,"",INSERT,1,"CREATE FUNCTION dbo.udf_get_datetime2_with_offset()RETURNS DATETIME2ASBEGINDECLARE    @time_offset INT;SELECT @time_offset = time_offsetFROM   dbo.con",0,0
"2025-12-11T06:46:58.000+0800",WINDB09HV01N,"agp4_db",92,"",SELECT,1,"CREATE PROCEDURE dbo.usp_get_ba_rpt_1301(@error_codeintoutput,@error_msgvarchar(500)output,@bizdateint)ASBEGIN TRYSET NOCOUNT ONSELECT @error_code = 0",1,89882
"2025-12-08T06:49:00.000+0800",WINDB09HV02N,"agp2_db",264,"",SELECT,1,"CREATE PROCEDURE usp_agp_get_edabi_rpt_1524(@error_codeintoutput,@error_msgvarchar(500)output,@bizdateint)ASBEGIN TRY--DECLARE -- @tvpnc_fo_edabidbo.t",3,143314
"2025-12-08T06:46:58.000+0800",WINDB09HV01N,"agp4_db",74,"",SELECT,1,"CREATE PROCEDURE [dbo].[usp_get_ba_rpt_1121](@error_codeintoutput,@error_msgvarchar(500)output,@bizdateint)ASBEGIN TRYSET NOCOUNT ONSELECT @error_code",41,3749498
"2025-12-08T06:46:36.000+0800",WINDB08ST01N,"agp3_db",180,"",SELECT,1,"CREATE PROCEDURE usp_agp_get_edabi_rpt_1521(@error_codeintoutput,@error_msgvarchar(500)output,@bizdateint)ASBEGIN TRY--DECLARE -- @tvpnc_fo_edabidbo.t",0,0
"2025-12-08T06:43:58.000+0800",WINDB09HV01N,"agp2_db",501,"",DELETE,1,"CREATE PROCEDURE usp_eod_housekeep_misc(@error_codeintoutput,@error_msgvarchar(500)output,@bizdateint)ASDECLARE @retryint,@last_bizdateint,@last_3_biz",25,3247398
"2025-12-06T07:46:36.000+0800",WINDB11ST01N,"acp_archive_db",100,"","BULK INSERT",1,"insert bulk account_transaction_enquiries([transaction_bizdate] int,[system_id] tinyint,[transaction_id] bigint,[account_no] varchar(16) collate Latin",0,0
"2025-12-06T06:46:31.000+0800",WINDB08ST02N,"agp1_db",267,"",SELECT,1,"CREATE PROCEDURE usp_agp_get_edabi_rpt_1505(@error_codeintoutput,@error_msgvarchar(500)output,@bizdateint)ASBEGIN TRY--DECLARE -- @tvpnc_fo_edabidbo.t",14,77278
"2025-12-04T04:23:35.000+0800",WINFODB06ST11,"oi_analytics_db",96,"",UPDATE,1,"CREATE PROCEDURE dbo.uspx_pool_odds_current_change(--Meta Data@checkpoint_id                            BIGINT = 0   ,@operation_type                 ",0,0
"2025-12-03T07:13:29.000+0800",WINFODB06ST11,"oi_analytics_db",73,"",DELETE,1,"CREATE PROCEDURE dbo.usp_housekeep_daily_by_year_medium(-- Input Parameter@bizdate                       DATE   ,@purge_batch_size               INT  ",22,1262521
"2025-12-01T23:13:30.000+0800",WINFODB06ST11,"oi_analytics_db",300,"",INSERT,1,"N/A",0,0
